index;unitID;name;address;city;postalCode;accomodation_type;lanFile;lonFile;searchTerm;state;street;houseNumber;lat;lng;relevance;mqCity;mqStreet;mqHouseNumber
4928;615902;pensjonat zakopianski dwor;Droga do Białego 1;Zakopane;34-500;Boarding houses;NA;NA;Droga do Białego 1, 34-500 Zakopane;Woj. Małopolskie;ulica Droga do Białego;1;49.28585;19.95587;1;1;0.9;1
4929;1044653408;visit lublin premium radziszewskiego;Radziszewskiego 2/26;Lublin;20-031;Hotels;NA;NA;Radziszewskiego 2/26, 20-031 Lublin;Woj. Lubelskie;ulica Idziego Radziszewskiego;2;51.24686;22.54662;0.92;1;0.85;1
4930;1009988096;villa baltica;ul. Bolesława Leśmiana 13;Świnoujście;72-600;Hotels;NA;NA;ul. Bolesława Leśmiana 13, 72-600 Świnoujście;Woj. Zachodniopomorskie;ulica Bolesława Leśmiana;13;53.9145;14.23721;1;1;1;1
4931;753572864;baltycka44 rooms & apartments;Bałtycka 44;Olsztyn;10-176;Rooms for guest;NA;NA;Bałtycka 44, 10-145 Olsztyn;Woj. Warmińsko-Mazurskie;ulica Bałtycka;44;53.79126;20.44005;0.85;1;0.9;1
4932;890918368;rent apartments - grobla i 13f-44;ul. Grobla I 13F/44;Gdańsk;80-834;Hotels;NA;NA;ul. Grobla I 13F/44, 80-834 Gdańsk;Woj. Pomorskie;ulica Grobla I;13F;54.35049;18.65414;0.91;1;1;1
4933;684531;pokoje goscinne home;Wita Stwosza 37;Warszawa;02-661;Boarding houses;NA;NA;Wita Stwosza 37, 02-661 Warszawa;Woj. Mazowieckie;ulica Wita Stwosza;37;52.17796;21.01974;1;1;0.9;1
4934;630506016;goodnight warsaw apartments nowolipki;Nowolipki 23;Warszawa;01-019;Hotels;NA;NA;Nowolipki 23,  Warszawa;Woj. Mazowieckie;ulica Nowolipki;23;52.24348;20.98795;1;1;0.9;1
4935;1006128288;goodnight warsaw apartments bednarska;Bednarska 23/81;Warszawa;00-321;Hotels;NA;NA;Bednarska 23/81, 00-321 Warszawa;Woj. Mazowieckie;ulica Bednarska;23;52.24486;21.0162;0.91;1;0.9;1
4936;959814464;m&r apartament airport marina mokotow;ul Rajska 1;Warszawa;02-654;Hotels;NA;NA;ul Rajska 1, 02-654 Warszawa;Woj. Mazowieckie;ulica Rajska;1;52.19184;20.98884;1;1;1;1
4937;634044352;blue books apartments;Śliska 10;Warszawa;00-127;Hotels;NA;NA;Śliska 10, 00-819 Warszawa;Woj. Mazowieckie;ulica Śliska;10;52.23216;20.9997;0.85;1;0.9;1
4938;954207808;shortstaypoland ciasna b43;15 Ciasna;Warszawa;00-232;Hotels;NA;NA;15 Ciasna, 00-001 Warszawa;Woj. Mazowieckie;ulica Ciasna;15;52.25239;21.00501;0.85;1;0.9;1
4939;1156046144;homely apartments-romeo&julia-old town;ul. Świętego Jana 14/9;Kraków;33-332;Hotels;NA;NA;ul. Świętego Jana 14/9, 33-332 Kraków;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined
4940;1025939616;panska residence;ul. Pańska 65/45;Warszawa;00-830;Hotels;NA;NA;ul. Pańska 65/45, 00-830 Warszawa;Woj. Mazowieckie;ulica Pańska;65;52.23154;20.99413;0.91;1;1;1
4941;679233856;camp66;Widokowa 9;Podgórzyn;58-534;Tent camp sites;NA;NA;Widokowa 9, 58-534 Ściegny;Woj. Dolnośląskie;Ściegny;9;50.80188;15.78078;0.65;NA;1;1
4942;361567;zamek czocha;Sucha;Leśna;59-820;Hotels;NA;NA;Sucha, 59-820 Leśna;Woj. Dolnośląskie;;undefined;51.02436;15.29888;1;1;NA;NA
4943;1006162080;goodnight warsaw apartments bruna;Bruna 9/13;Warszawa;02-594;Hotels;NA;NA;Bruna 9/13, 02-594 Warszawa;Woj. Mazowieckie;;undefined;52.20822;21.00317;0.59;1;NA;NA
4944;612280480;vistula - centrum  starowislna street;ul. Starowiślna 52;Kraków;31-035;Hotels;NA;NA;ul. Starowiślna 52, 31-038 Kraków;Woj. Małopolskie;ulica Starowiślna;52;50.05354;19.9487;0.97;1;1;1
4945;1025098592;vistula - brilliant apartments kazimierz;ul. Miodowa 19;Kraków;31-055;Hotels;NA;NA;ul. Miodowa 19,  Kraków;Woj. Małopolskie;ulica Miodowa;19;50.05248;19.94424;1;1;1;1
4946;869667872;horizon apartments - kazimierz district;ul. Starowiślna 36/2;Kraków;31-032;Hotels;NA;NA;ul. Starowiślna 36/2, 31-032 Kraków;Woj. Małopolskie;ulica Starowiślna;36;50.05527;19.94686;0.94;1;1;1
4947;1025084672;vistula - prestigious apartment;ul. św. Wawrzyńca 18 B/41;Kraków;31-060;Hotels;NA;NA;ul. św. Wawrzyńca 18 B/41, 30-527 Kraków;Woj. Małopolskie;ulica św. Wawrzyńca;30;50.05075;19.95047;0.65;1;1;1
4948;1081118240;4culture apart;Adama Próchnika;Łódź;90-712;Hotels;NA;NA;Adama Próchnika, 95-100 Łódź;Woj. Łódzkie;ulica Adama Próchnika;53;51.77361;19.443;0.81;1;0.85;0.59
4949;577653;villa casteria;Kopernika 5;Międzyzdroje;72-500;Boarding houses;NA;NA;Kopernika 5, 72-500 Międzyzdroje;Woj. Zachodniopomorskie;ulica Mikołaja Kopernika;5;53.92926;14.44582;1;1;0.85;1
4950;645662400;hotel bialy;Skorzecin 52;Witkowo;62-215;Hotels;NA;NA;Skorzecin 52, 62-230 Gmina Witkowo;Woj. Wielkopolskie;Skorzęcin;52;52.4603575;17.8983698;0.71;1;1;1
4951;371413;villa pascal;ul. Łamana 5;Gdańsk;80-510;Hotels;NA;NA;ul. Łamana 5, 80-510 Gdańsk;Woj. Pomorskie;ulica Łamana;5;54.41037;18.6307;1;1;1;1
4952;898955680;rent apartments - lakowa 60b-44;ul. Łąkowa 60B/44;Gdańsk;80-769;Hotels;NA;NA;ul. Łąkowa 60B/44, 80-769 Gdańsk;Woj. Pomorskie;ulica Łąkowa;60B;54.34621;18.6657;0.9;1;1;1
4953;383930;best western plus ferdynand hotel;Grottgera 28;Rzeszów;35-005;Hotels;NA;NA;Grottgera 28, 35-005 Rzeszów;Woj. Podkarpackie;ulica Artura Grottgera;28;50.04175;22.00746;1;1;0.85;1
4954;1025072352;vistula - exclusive kazimierz apartments;ul. Św. Wawrzyńca 21;Kraków;31-060;Hotels;NA;NA;ul. Św. Wawrzyńca 21,  Kraków;Woj. Małopolskie;ulica św. Wawrzyńca;21;50.05009;19.94859;1;1;1;1
4955;1091826752;willa zarebek;Zarębek Niżni 32;Nowy Targ (Gmina);34-432;Rooms for guest;NA;NA;Zarębek Niżni 32, 34-432 Nowy Targ;Woj. Małopolskie;ulica Zarębek Niżni;32;49.49987;20.1348;1;0.63;0.9;1
4956;332351;redyk;Potoczki 20;Poronin;34-521;Hotels;NA;NA;Potoczki 20, 34-521 Poronin;Woj. Małopolskie;;undefined;49.33532;19.9255;0.56;1;NA;NA
4957;1066906880;zajazd gajowka;Wywłoczka 154;Zwierzyniec;22-470;Hotels;NA;NA;Wywłoczka 154, 22-470 Zwierzyniec;Woj. Lubelskie;Wywłoczka;153;50.627;22.94512;0.99;1;1;0.97
4958;346890;apartments sopot;Władysława Łokietka 49-55;Sopot;81-736;Hotels;NA;NA;Władysława Łokietka 49-55, 81-736 Sopot;Woj. Pomorskie;ulica Władysława Łokietka;47;54.43055;18.57397;0.89;1;0.87;0.98
4959;890860096;rent apartments - chmielna 72-83;ul. Chmielna  72/83;Gdańsk;80-748;Hotels;NA;NA;ul. Chmielna  72/83, 80-748 Gdańsk;Woj. Pomorskie;ulica Chmielna;72;54.34347;18.65334;0.91;1;1;1
4960;1025058016;vistula - new exclusive apartment m11;ul. Masarska 11/11;Kraków;31-534;Hotels;NA;NA;ul. Masarska 11/11, 31-534 Kraków;Woj. Małopolskie;ulica Masarska;9;50.05498;19.95683;0.91;1;1;0.98
4961;850152288;city of the kings green silence apartment;ul. Markowskiego 15/86;Kraków;31-881;Hotels;NA;NA;ul. Markowskiego 15/86, 31-881 Kraków;Woj. Małopolskie;ulica Mieczysława Markowskiego;10;50.07558;19.99115;0.92;1;0.95;0.93
4962;1073938080;hotel echo;Cedzyna;Górno;26-008;Hotels;NA;NA;Cedzyna, 25-900 Górno;Woj. Świętokrzyskie;Cedzyna;25;50.8728866;20.7173217;0.75;1;1;1
4963;1058708064;best western premier principe;ul. Grottgera 28A;Rzeszów;35-005;Hotels;NA;NA;ul. Grottgera 28A, 35-005 Rzeszów;Woj. Podkarpackie;ulica Artura Grottgera;28A;50.04175;22.00746;1;1;0.95;1
4964;624826720;goodnight warsaw apartments wspolna;Wspólna 69;Warszawa;00-687;Hotels;NA;NA;Wspólna 69, 00-687 Warszawa;Woj. Mazowieckie;ulica Wspólna;69;52.22577;21.00781;1;1;0.9;1
4965;1092735968;everysky kowary dom z bali;Kowary;Kowary;58-530;Agrotourism lodgings;NA;NA;Kowary,  Kowary;Woj. Dolnośląskie;;undefined;50.7923;15.83427;1;1;NA;NA
4966;708518208;rentplanet apartments szewska;ul. Szewska 70;Wrocław;50-139;Hotels;NA;NA;ul. Szewska 70, 50-139 Wrocław;Woj. Dolnośląskie;ulica Szewska;70;51.11045;17.03453;1;1;1;1
4967;851791136;malbec;Uniwersytecka 12/58;Katowice;40-007;Hotels;NA;NA;Uniwersytecka 12/58, 40-007 Katowice;Woj. Śląskie;ulica Uniwersytecka;12;50.26234;19.02632;0.92;1;0.9;1
4968;658497;rent a flat apartments - torunska 18;Toruńska 18;Gdańsk;80-747;Hotels;NA;NA;Toruńska 18, 80-822 Gdańsk;Woj. Pomorskie;ulica Toruńska;18;54.34207;18.65342;0.85;1;0.9;1
4969;887675904;osada zator;ul. Podleśna 1;Zator;32-640;Agrotourism lodgings;NA;NA;ul. Podleśna 1, 32-640 Zator;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined
4970;592080;boutique apartments - main market square;Dunajewskiego 1;Kraków;33-332;Hotels;NA;NA;Dunajewskiego 1, 33-332 Kraków;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined
4971;1108215744;rentplanet - studio wiezienna;Więzienna 14;Wrocław;50-118;Hotels;NA;NA;Więzienna 14, 50-118 Wrocław;Woj. Dolnośląskie;ulica Więzienna;01.kwi;51.11126;17.03213;0.99;1;0.9;0.99
4972;800303648;mielno holiday apartments;Generała Maczka 32;Mielno;76-032;Hotels;NA;NA;Generała Maczka 32, 76032 Mielno;Woj. Zachodniopomorskie;;undefined;54.25911;16.05698;0.41;1;NA;NA
4973;1081952128;apartamenty familijne-osiedle feniks;Poleska 8/208;Kołobrzeg;78-100;Hotels;NA;NA;Poleska 8/208, 78-100 Kołobrzeg;Woj. Zachodniopomorskie;ulica Poleska;5;54.19297;15.6664;0.87;1;0.9;0.97
4974;1052284320;cedrowy dworek;Cedry Wielkie;Cedry Wielkie;83-020;Boarding houses;NA;NA;Cedry Wielkie, 83-020 woj. pomorskie;Woj. Pomorskie;;undefined;54.24774;18.84582;1;1;NA;NA
4975;591313;residence okolnik apartments;ul. Okólnik 11A, Śródmieście;Warszawa;00-368;Hotels;NA;NA;ul. Okólnik 11A, Śródmieście, 00-368 Warszawa;Woj. Mazowieckie;ulica Okólnik;11A;52.23587;21.02137;1;1;1;1
4976;1025093152;vistula - luxury apartment in kazimierz;ul. Brzozowa 8/11;Kraków;31-050;Hotels;NA;NA;ul. Brzozowa 8/11, 31-050 Kraków;Woj. Małopolskie;ulica Brzozowa;8;50.05402;19.94473;0.9;1;1;1
4977;715407104;monte house;Małe Żywczańskie 26;Zakopane;34-500;Hotels;NA;NA;Małe Żywczańskie 26, 34-500 Zakopane;Woj. Małopolskie;ulica Małe Żywczańskie;26;49.28478;19.95334;1;1;0.9;1
4978;480068;hotel wierchomla ski & spa resort;Wierchomla Mała 42;Piwniczna-Zdrój;33-350;Hotels;NA;NA;Wierchomla Mała 42, 33-350 Piwniczna-Zdrój;Woj. Małopolskie;Wierchomla Mała;42;49.431;20.81181;1;1;1;1
